drug,module,model,f1,balanced_accuracy,auprc
AMP,accessory200_plus_functional_like,LR_balanced,0.8537316931386612,0.9024810202172522,0.8915151837319178
AMP,accessory200_plus_functional_like,RF_balanced,0.8568236185844061,0.9008730220690052,0.8840870711952152
AMP,accessory200_plus_gene_graph_embedding,LR_balanced,0.8500551204931841,0.902751748915816,0.8899282957496304
AMP,accessory200_plus_gene_graph_embedding,RF_balanced,0.8537680814768912,0.9009790059337359,0.8868727557773555
AMP,accessory200_plus_sample_graph,LR_balanced,0.8545433971351961,0.9036304424347265,0.8964543572516099
AMP,accessory200_plus_sample_graph,RF_balanced,0.84825571053862,0.8965087609006203,0.8870907988835017
AMP,accessory_chi2_200,LR_balanced,0.8537316931386612,0.9024810202172522,0.8915151837319178
AMP,accessory_chi2_200,RF_balanced,0.8625105584105702,0.9033605115513132,0.8813958223846942
AMP,accessory_chi2_500,LR_balanced,0.8889397828205967,0.9295696306583813,0.9327931279263547
AMP,accessory_chi2_500,RF_balanced,0.8808868927050739,0.9282930316838762,0.9250140559933577
AMP,ensemble_top_50,LR_balanced,0.9031006239716891,0.9361035210241984,0.925849634181384
AMP,ensemble_top_50,RF_balanced,0.8907576109435146,0.9300023044188687,0.9081278089329561
AMP,ensemble_top_500,LR_balanced,0.8802270871687873,0.9257021834796794,0.9323441043250023
AMP,ensemble_top_500,RF_balanced,0.8604677770736228,0.9130259930230551,0.9246969677023048
AMP,gene_graph_embedding_only,LR_balanced,0.8129079397702564,0.8936096079314925,0.8459516849388758
AMP,gene_graph_embedding_only,RF_balanced,0.841268844199203,0.8987329108907818,0.8763155608173281
AMP,paper_ready50,LR_balanced,0.9184993820644597,0.9458960046239038,0.9462997744847251
AMP,paper_ready50,RF_balanced,0.8909944363676519,0.9332181717409537,0.9285460205133196
AMP,paper_ready50_plus_chi2_200,LR_balanced,0.9088892033458974,0.9379606600659163,0.9448897422995525
AMP,paper_ready50_plus_chi2_200,RF_balanced,0.8912976190758299,0.9295295298894198,0.923020681634138
AMP,paper_ready50_plus_chi2_500,LR_balanced,0.9116382403855003,0.9410812175823392,0.9448056355271585
AMP,paper_ready50_plus_chi2_500,RF_balanced,0.8870158561621796,0.9279608346949836,0.9290332899051016
AMP,sample_graph_only,LR_balanced,0.8185763364325535,0.8947081537393219,0.886133630388493
AMP,sample_graph_only,RF_balanced,0.8201913103505903,0.8858394567643539,0.8706177421864737
AUG,accessory200_plus_functional_like,LR_balanced,0.9327074043337927,0.9749077488232117,0.9478107220663633
AUG,accessory200_plus_functional_like,RF_balanced,0.9228917642054691,0.9623723658256771,0.9309692673646778
AUG,accessory200_plus_gene_graph_embedding,LR_balanced,0.935817488428545,0.9743212194411973,0.9476631452354353
AUG,accessory200_plus_gene_graph_embedding,RF_balanced,0.9222206997046339,0.9622097641996609,0.9334595395109653
AUG,accessory200_plus_sample_graph,LR_balanced,0.9300505109821504,0.9674594738396144,0.9482415270922081
AUG,accessory200_plus_sample_graph,RF_balanced,0.9293405705029871,0.9633030945427346,0.9313238616687273
AUG,accessory_chi2_200,LR_balanced,0.9327074043337927,0.9749077488232117,0.9478107220663633
AUG,accessory_chi2_200,RF_balanced,0.9268887048437502,0.9659437943971056,0.9282217271092479
AUG,accessory_chi2_500,LR_balanced,0.9202275396716975,0.9589635388802649,0.940134320719013
AUG,accessory_chi2_500,RF_balanced,0.917557766888626,0.9673171650502143,0.9316579239830743
AUG,ensemble_top_50,LR_balanced,0.9275730068505084,0.9690707204729622,0.9317890200068717
AUG,ensemble_top_50,RF_balanced,0.9385777355862234,0.9717655456952166,0.9260887053296394
AUG,ensemble_top_500,LR_balanced,0.9095619535165309,0.9603081616961955,0.936903484555721
AUG,ensemble_top_500,RF_balanced,0.9196995610887004,0.9677305517237634,0.9357050976582441
AUG,gene_graph_embedding_only,LR_balanced,0.8916214097234356,0.9622041846092679,0.8980373490790877
AUG,gene_graph_embedding_only,RF_balanced,0.9001815604664177,0.959669085602861,0.9275055001613361
AUG,paper_ready50,LR_balanced,0.9207093914353442,0.9689265532122111,0.9347101698958179
AUG,paper_ready50,RF_balanced,0.9308761111133458,0.9656080500626242,0.9197774846031462
AUG,paper_ready50_plus_chi2_200,LR_balanced,0.9348538989931814,0.9741578284868996,0.942455029053061
AUG,paper_ready50_plus_chi2_200,RF_balanced,0.9324767954692226,0.9658171113842438,0.9371702722748925
AUG,paper_ready50_plus_chi2_500,LR_balanced,0.9266269523597828,0.961785047115381,0.9374733569453519
AUG,paper_ready50_plus_chi2_500,RF_balanced,0.9278014613627402,0.9689112761600724,0.9366857274260938
AUG,sample_graph_only,LR_balanced,0.898152966773018,0.962312153442077,0.9316817085701731
